date,opponent,ph_goal,opp_goal,ph_goal_diff,ph_pen_goal,opp_pen_goal,ph_match_status,competition,competition_stage,sporting_event,location_city,location_country
2012-02-29,Malaysia,1,1,0,0,0,draw,friendly,,friendly,Manila,Philippines
2012-03-09,North Korea,0,2,-2,0,0,loss,2012 afc challenge cup ,group stage,afc challenge cup,Kathmandu,Nepal
2012-03-11,India,2,0,2,0,0,win,2012 afc challenge cup ,group stage,afc challenge cup,Kathmandu,Nepal
2012-03-13,Tajikistan,2,1,1,0,0,win,2012 afc challenge cup ,group stage,afc challenge cup,Kathmandu,Nepal
2012-03-16,Turkmenistan,1,2,-1,0,0,loss,2012 afc challenge cup ,semi-final,afc challenge cup,Kathmandu,Nepal
2012-03-19,Palestine,4,3,1,0,0,win,2012 afc challenge cup ,3rd place play-off,afc challenge cup,Kathmandu,Nepal
2012-06-01,Malaysia,0,0,0,0,0,draw,friendly,,friendly,Shah Alam,Malaysia
2012-06-05,Indonesia,2,2,0,0,0,draw,friendly,,friendly,Manila,Philippines
2012-06-12,Guam,3,0,3,0,0,win,friendly,,friendly,Bacolod,Philippines
2012-09-07,Singapore,2,0,2,0,0,win,friendly,,friendly,,Singapore
2012-09-25,Guam,1,0,1,0,0,win,2012 philippine peace cup,,philippine peace cup,Manila,Philippines
2012-09-27,Macau,5,0,5,0,0,win,2012 philippine peace cup,,philippine peace cup,Manila,Philippines
2012-09-29,Chinese Taipei,3,1,2,0,0,win,2012 philippine peace cup,,philippine peace cup,Manila,Philippines
2012-10-12,Bahrain,0,0,0,0,0,draw,friendly,,friendly,Manama,Bahrain
2012-10-16,Kuwait,1,2,-1,0,0,loss,friendly,,friendly,Kuwait City,Kuwait
2012-11-15,Singapore,1,0,1,0,0,win,friendly,,friendly,Cebu,Philippines
2012-11-24,Thailand,1,2,-1,0,0,loss,2012 aff championship ,group stage,aff championship,Bangkok,Thailand
2012-11-27,Vietnam,1,0,1,0,0,win,2012 aff championship ,group stage,aff championship,Bangkok,Thailand
